city,year,weekofyear,total_cases
sj,2008,18,36
sj,2008,19,34
sj,2008,20,33
sj,2008,21,32
sj,2008,22,32
sj,2008,23,36
sj,2008,24,36
sj,2008,25,36
sj,2008,26,33
sj,2008,27,35
sj,2008,28,35
sj,2008,29,33
sj,2008,30,33
sj,2008,31,34
sj,2008,32,36
sj,2008,33,33
sj,2008,34,36
sj,2008,35,35
sj,2008,36,36
sj,2008,37,36
sj,2008,38,36
sj,2008,39,36
sj,2008,40,36
sj,2008,41,33
sj,2008,42,36
sj,2008,43,36
sj,2008,44,32
sj,2008,45,34
sj,2008,46,34
sj,2008,47,35
sj,2008,48,34
sj,2008,49,33
sj,2008,50,32
sj,2008,51,33
sj,2008,52,32
sj,2009,1,32
sj,2009,2,32
sj,2009,3,32
sj,2009,4,34
sj,2009,5,32
sj,2009,6,32
sj,2009,7,32
sj,2009,8,34
sj,2009,9,33
sj,2009,10,36
sj,2009,11,36
sj,2009,12,32
sj,2009,13,34
sj,2009,14,33
sj,2009,15,32
sj,2009,16,32
sj,2009,17,34
sj,2009,18,35
sj,2009,19,33
sj,2009,20,36
sj,2009,21,36
sj,2009,22,36
sj,2009,23,35
sj,2009,24,36
sj,2009,25,36
sj,2009,26,36
sj,2009,27,35
sj,2009,28,36
sj,2009,29,33
sj,2009,30,33
sj,2009,31,36
sj,2009,32,33
sj,2009,33,35
sj,2009,34,36
sj,2009,35,34
sj,2009,36,34
sj,2009,37,36
sj,2009,38,34
sj,2009,39,36
sj,2009,40,36
sj,2009,41,36
sj,2009,42,35
sj,2009,43,33
sj,2009,44,34
sj,2009,45,34
sj,2009,46,36
sj,2009,47,36
sj,2009,48,36
sj,2009,49,33
sj,2009,50,32
sj,2009,51,32
sj,2009,52,32
sj,2010,53,32
sj,2010,1,32
sj,2010,2,33
sj,2010,3,32
sj,2010,4,34
sj,2010,5,32
sj,2010,6,32
sj,2010,7,32
sj,2010,8,35
sj,2010,9,32
sj,2010,10,32
sj,2010,11,32
sj,2010,12,33
sj,2010,13,32
sj,2010,14,34
sj,2010,15,32
sj,2010,16,36
sj,2010,17,36
sj,2010,18,34
sj,2010,19,35
sj,2010,20,35
sj,2010,21,36
sj,2010,22,36
sj,2010,23,36
sj,2010,24,35
sj,2010,25,36
sj,2010,26,36
sj,2010,27,34
sj,2010,28,36
sj,2010,29,36
sj,2010,30,36
sj,2010,31,34
sj,2010,32,33
sj,2010,33,36
sj,2010,34,35
sj,2010,35,36
sj,2010,36,36
sj,2010,37,36
sj,2010,38,34
sj,2010,39,36
sj,2010,40,36
sj,2010,41,36
sj,2010,42,33
sj,2010,43,32
sj,2010,44,34
sj,2010,45,36
sj,2010,46,36
sj,2010,47,32
sj,2010,48,32
sj,2010,49,32
sj,2010,50,36
sj,2010,51,35
sj,2011,52,33
sj,2011,1,34
sj,2011,2,33
sj,2011,3,34
sj,2011,4,32
sj,2011,5,32
sj,2011,6,32
sj,2011,7,32
sj,2011,8,32
sj,2011,9,33
sj,2011,10,34
sj,2011,11,32
sj,2011,12,32
sj,2011,13,35
sj,2011,14,32
sj,2011,15,32
sj,2011,16,36
sj,2011,17,32
sj,2011,18,36
sj,2011,19,34
sj,2011,20,36
sj,2011,21,36
sj,2011,22,36
sj,2011,23,36
sj,2011,24,36
sj,2011,25,36
sj,2011,26,36
sj,2011,27,36
sj,2011,28,36
sj,2011,29,36
sj,2011,30,36
sj,2011,31,36
sj,2011,32,36
sj,2011,33,34
sj,2011,34,36
sj,2011,35,36
sj,2011,36,36
sj,2011,37,35
sj,2011,38,36
sj,2011,39,36
sj,2011,40,36
sj,2011,41,36
sj,2011,42,35
sj,2011,43,33
sj,2011,44,33
sj,2011,45,36
sj,2011,46,36
sj,2011,47,32
sj,2011,48,34
sj,2011,49,33
sj,2011,50,36
sj,2011,51,32
sj,2012,52,35
sj,2012,1,32
sj,2012,2,32
sj,2012,3,32
sj,2012,4,32
sj,2012,5,32
sj,2012,6,33
sj,2012,7,32
sj,2012,8,32
sj,2012,9,32
sj,2012,10,34
sj,2012,11,34
sj,2012,12,36
sj,2012,13,36
sj,2012,14,36
sj,2012,15,35
sj,2012,16,36
sj,2012,17,32
sj,2012,18,33
sj,2012,19,36
sj,2012,20,36
sj,2012,21,36
sj,2012,22,32
sj,2012,23,33
sj,2012,24,33
sj,2012,25,36
sj,2012,26,32
sj,2012,27,33
sj,2012,28,36
sj,2012,29,35
sj,2012,30,35
sj,2012,31,34
sj,2012,32,36
sj,2012,33,36
sj,2012,34,36
sj,2012,35,36
sj,2012,36,32
sj,2012,37,32
sj,2012,38,34
sj,2012,39,36
sj,2012,40,36
sj,2012,41,35
sj,2012,42,36
sj,2012,43,36
sj,2012,44,36
sj,2012,45,34
sj,2012,46,36
sj,2012,47,36
sj,2012,48,36
sj,2012,49,32
sj,2012,50,36
sj,2012,51,32
sj,2013,1,36
sj,2013,2,32
sj,2013,3,32
sj,2013,4,32
sj,2013,5,32
sj,2013,6,32
sj,2013,7,32
sj,2013,8,32
sj,2013,9,32
sj,2013,10,35
sj,2013,11,32
sj,2013,12,32
sj,2013,13,36
sj,2013,14,33
sj,2013,15,32
sj,2013,16,32
sj,2013,17,36
iq,2010,26,6
iq,2010,27,6
iq,2010,28,6
iq,2010,29,6
iq,2010,30,6
iq,2010,31,6
iq,2010,32,6
iq,2010,33,6
iq,2010,34,6
iq,2010,35,6
iq,2010,36,6
iq,2010,37,6
iq,2010,38,6
iq,2010,39,6
iq,2010,40,6
iq,2010,41,6
iq,2010,42,6
iq,2010,43,6
iq,2010,44,6
iq,2010,45,6
iq,2010,46,6
iq,2010,47,6
iq,2010,48,6
iq,2010,49,6
iq,2010,50,6
iq,2010,51,6
iq,2011,52,6
iq,2011,1,6
iq,2011,2,6
iq,2011,3,6
iq,2011,4,6
iq,2011,5,6
iq,2011,6,6
iq,2011,7,6
iq,2011,8,6
iq,2011,9,6
iq,2011,10,6
iq,2011,11,6
iq,2011,12,6
iq,2011,13,6
iq,2011,14,6
iq,2011,15,6
iq,2011,16,6
iq,2011,17,6
iq,2011,18,6
iq,2011,19,6
iq,2011,20,6
iq,2011,21,6
iq,2011,22,6
iq,2011,23,6
iq,2011,24,6
iq,2011,25,6
iq,2011,26,6
iq,2011,27,6
iq,2011,28,6
iq,2011,29,6
iq,2011,30,6
iq,2011,31,6
iq,2011,32,6
iq,2011,33,6
iq,2011,34,6
iq,2011,35,6
iq,2011,36,6
iq,2011,37,6
iq,2011,38,6
iq,2011,39,6
iq,2011,40,6
iq,2011,41,6
iq,2011,42,6
iq,2011,43,6
iq,2011,44,6
iq,2011,45,6
iq,2011,46,6
iq,2011,47,6
iq,2011,48,6
iq,2011,49,6
iq,2011,50,6
iq,2011,51,6
iq,2012,52,6
iq,2012,1,6
iq,2012,2,6
iq,2012,3,6
iq,2012,4,6
iq,2012,5,6
iq,2012,6,6
iq,2012,7,6
iq,2012,8,6
iq,2012,9,6
iq,2012,10,6
iq,2012,11,6
iq,2012,12,6
iq,2012,13,6
iq,2012,14,6
iq,2012,15,6
iq,2012,16,6
iq,2012,17,6
iq,2012,18,6
iq,2012,19,6
iq,2012,20,6
iq,2012,21,6
iq,2012,22,6
iq,2012,23,6
iq,2012,24,6
iq,2012,25,6
iq,2012,26,6
iq,2012,27,6
iq,2012,28,6
iq,2012,29,6
iq,2012,30,6
iq,2012,31,6
iq,2012,32,6
iq,2012,33,6
iq,2012,34,6
iq,2012,35,6
iq,2012,36,6
iq,2012,37,6
iq,2012,38,6
iq,2012,39,6
iq,2012,40,6
iq,2012,41,6
iq,2012,42,6
iq,2012,43,6
iq,2012,44,6
iq,2012,45,6
iq,2012,46,6
iq,2012,47,6
iq,2012,48,6
iq,2012,49,6
iq,2012,50,6
iq,2012,51,6
iq,2013,1,6
iq,2013,2,6
iq,2013,3,6
iq,2013,4,6
iq,2013,5,6
iq,2013,6,6
iq,2013,7,6
iq,2013,8,6
iq,2013,9,6
iq,2013,10,6
iq,2013,11,6
iq,2013,12,6
iq,2013,13,6
iq,2013,14,6
iq,2013,15,6
iq,2013,16,6
iq,2013,17,6
iq,2013,18,6
iq,2013,19,6
iq,2013,20,6
iq,2013,21,6
iq,2013,22,6
iq,2013,23,6
iq,2013,24,6
iq,2013,25,6
iq,2013,26,6
